CNPJ_CARGA,CODIGO_CARGA,NOME_EMPRESARIAL,Média de Consumo_kWh,PERIODO_COMERCIALIZACAO,CLASSE_PERFIL_AGENTE
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1659.8452142857143,1,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1448.2504285714288,2,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1652.1716785714286,3,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1415.9473928571429,4,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1337.8005714285716,5,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1310.3464999999999,6,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1265.5440000000003,7,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1524.8428214285716,8,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1465.2686071428568,9,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1639.229821428571,10,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1546.3455357142852,11,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1460.5897142857143,12,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1528.2769642857147,13,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1626.8843214285719,14,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1477.1259285714289,15,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1348.198392857143,16,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1418.8483571428567,17,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1589.6951071428573,18,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1593.6467499999999,19,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1551.5270000000003,20,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1531.8221071428572,21,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1499.3257499999997,22,Consumidor Livre
60398369000479,7194,PARANAPANEMA S.A - EM RECUPERACAO JUDICIAL,1433.365214285714,23,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,648.3641666666666,0,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,939.8226153846156,1,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,1571.4945833333331,2,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,571.9242,3,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,680.4332999999999,4,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,5.292125,5,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,96.25144444444445,6,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,690.0975000000001,7,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,634.4986363636364,8,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,463.1955,9,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,987.4488181818183,10,Consumidor Livre
40551996000148,7435,VERACEL CELULOSE S.A.,121.652125,11,Consumidor Livre
